trial,target_cv,spatial_mode,budget_fraction,budget_rows,paper_runtime_ms,paper_importance,paper_rows,paper_chunks,paper_run_length_median,paper_rows_beyond_profile_fraction,paper_two_line_ms,paper_released_ms,quant_importance,quant_rows,quant_chunks,quant_run_length_median,quant_rows_beyond_profile_fraction,quant_two_line_ms,quant_released_ms,quant_lambda_index,quant_lambda,top_fixed_importance,top_fixed_rows,top_fixed_chunks,top_fixed_run_length_median,top_fixed_rows_beyond_profile_fraction,top_fixed_two_line_ms,top_fixed_released_ms,top_matched_importance,top_matched_rows,top_matched_chunks,top_matched_run_length_median,top_matched_rows_beyond_profile_fraction,top_matched_two_line_ms,top_matched_released_ms,quant_saving_vs_paper_lookup_pct,paper_extra_vs_quant_lookup_pct,quant_win,quant_lookup_reference_ratio,paper_vs_quant_lookup_ratio,top_matched_vs_quant_lookup_ratio,coverage_paper_importance,coverage_paper_rows,coverage_paper_chunks,coverage_paper_run_length_median,coverage_paper_rows_beyond_profile_fraction,coverage_paper_two_line_ms,coverage_paper_released_ms,quant_win_vs_paper,coverage_paper_query_ms,coverage_paper_saving_vs_paper_lookup_pct,coverage_paper_win_vs_paper,coverage_paper_vs_paper_lookup_ratio,quant_vs_paper_lookup_ratio,coverage_paper_saving_vs_quant_lookup_pct,coverage_paper_win_vs_quant
3,1.07,local,0.45,2189,13.187989,0.7094893986231339,2184,27,72.0,0.1868131868131868,0.8415871710711583,0.8165795573437296,0.7161436547636961,2147,16,133.5,0.3218444340940847,0.7134738440786402,0.7246661780964935,42320,1.731512413926256,0.7767107700743205,2189,221,4.0,0.0,2.981080288774621,3.0913246922104367,0.7096688387762308,1793,229,4.0,0.0,2.9734362667344927,3.1236428295772143,11.255900104360094,12.683547545804918,1.0,1.0,1.1268354754580492,4.310457592739043,0.7175475230644892,2244,25,78.0,0.26737967914438504,0.8387103498749451,0.8164437461636039,1.0,0.013766,0.016631714436665668,1.0,0.9998336828556333,0.887440998956399,-12.664806339959988,0.0
3,1.07,local,0.5,2432,16.587944,0.7476602682253448,2430,28,75.0,0.2469135802469135,0.9171788318988328,0.8928334257818136,0.7534491352180173,2367,16,142.0,0.55893536121673,0.785149780702586,0.7989943459516675,43201,1.9635300639884936,0.8122973720372106,2432,216,3.5,0.0,2.9847636098552317,3.0505764289205044,0.7476924820565976,2008,226,4.0,0.0,2.992472511484486,3.1158633024669258,10.510256126216987,11.744648795777902,1.0,1.0,1.117446487957779,3.899731353862934,0.7482274092373798,2460,27,78.0,0.24390243902439024,0.9133928329778122,0.890443722261253,1.0,0.014297,0.2676539040267212,1.0,0.9973234609597328,0.8948974387378301,-11.445559880735058,0.0
3,1.07,local,0.55,2675,8.661699,0.7836594446333949,2670,30,75.0,0.2876404494382023,1.0004202118267866,0.9777223053286828,0.7837321634675765,2581,16,158.5,0.7314994188299109,0.8499438647079739,0.86597195069778,44044,2.2145930598909302,0.8442303681258353,2675,216,4.0,0.0553271028037383,3.044929905985151,3.114185701699018,0.783725257967994,2235,225,4.0,0.0,3.0365878371880406,3.1568480987171874,11.42966198294264,12.904615968318268,1.0,1.0,1.129046159683183,3.6454392040913945,0.7913843363371128,2754,30,78.0,0.2788671023965142,1.0208451421235598,0.9969630886966102,1.0,0.015339,-1.967919036219512,0.0,1.0196791903621951,0.8857033801705736,-15.126487398729328,0.0
3,1.07,local,0.6,2918,15.793098,0.8132061790896984,2916,31,78.0,0.3004115226337449,1.080190579869248,1.0558893556271354,0.8202102132443206,2834,18,148.5,0.707833450952717,0.932237966188186,0.9503092183126016,44249,2.2803504471032205,0.872774747918742,2918,210,4.0,0.0527758738862234,3.038858997584054,3.1171831194795177,0.8132672418453165,2439,218,3.5,0.0,3.00862692114827,3.0785318627272,9.999166745252897,11.110082411070898,1.0,1.0,1.111100824110709,3.239505419292402,0.8141205523770726,2928,31,78.0,0.29918032786885246,1.0831084270545013,1.0581661684892583,1.0,0.016691,-0.21562987163277203,0.0,1.0021562987163277,0.9000083325474709,-11.349668939144951,0.0
3,1.07,local,0.65,3162,9.016011,0.8499082763526237,3162,32,78.0,0.3377609108159393,1.1557822406969225,1.1337836169640605,0.8517271655398703,3059,19,170.0,0.6874795684864334,1.0059982801521323,1.025979839551092,44594,2.395453019721749,0.8986445595612325,3162,218,4.0,0.0493358633776091,3.187749051536705,3.287116590970023,0.8499881668069402,2722,216,4.0,0.0554739162380602,3.0566046375679656,3.122298311180196,9.508320264993364,10.50739724672729,1.0,1.0,1.105073972467273,3.043235540131401,0.8524401873155872,3198,33,78.0,0.3339587242026266,1.1756163991368362,1.1503885328538723,1.0,0.022381,-1.4645577552333089,0.0,1.014645577552333,0.9049167973500664,-12.12584190321071,0.0
3,1.07,local,0.7,3405,10.808591,0.8788841994537016,3402,36,75.0,0.3139329805996472,1.2584616519386038,1.2333920996018497,0.8814279134027151,3309,20,154.5,0.6639468117255969,1.0849336209143676,1.1072484046540785,45536,2.74019145260815,0.9215298295679366,3405,217,4.0,0.0995594713656387,3.238959298214708,3.3373965712436204,0.8789509159367019,2974,216,4.0,0.0521183591123066,3.119041484678128,3.200252571603957,10.227379840400442,11.392537972288208,1.0,1.0,1.113925379722882,2.8902751705510616,0.8793501751813515,3420,34,81.0,0.35964912280701755,1.2429073978549443,1.2209738936782966,1.0,0.018123,1.0068335874343526,1.0,0.9899316641256565,0.8977262015959957,-10.271000486087644,0.0
3,1.07,local,0.75,3648,11.359491,0.9065717165618028,3648,35,84.0,0.3585526315789473,1.315836027380466,1.2960173782949258,0.909122196366738,3546,20,172.0,0.7619853355893965,1.1617995891294002,1.1857715255195722,45735,2.819139951603486,0.9415401990498548,3648,203,4.0,0.0951206140350877,3.143574392068349,3.2444587642397686,0.9065906282273036,3243,225,4.0,0.093432007400555,3.2852553350001474,3.373496835276827,8.506510377229349,9.297394177773576,1.0,1.0,1.0929739417777358,2.8449804727758616,0.9089364160248252,3708,35,84.0,0.40614886731391586,1.3356134335003724,1.3163839828105903,1.0,0.022202,-1.5714761898069085,0.0,1.015714761898069,0.9149348962277065,-11.014976703356695,0.0
3,1.07,local,0.8,3891,15.440549,0.9293504893704304,3888,37,84.0,0.3935185185185185,1.4035143492387274,1.3878503125591533,0.9298228874403838,3737,22,172.0,0.72999732405673,1.2227383480553422,1.247816978052659,46363,3.0835107672680504,0.9587754416594604,3891,182,5.0,0.2706245181187355,2.982914792603369,3.014734721699325,0.9294202060723904,3497,213,4.0,0.0992279096368315,3.217664317162117,3.3241561666330104,10.089945092729591,11.222265522066422,1.0,1.0,1.1122226552206642,2.663977350124442,0.9310387719323298,3918,36,90.0,0.3905053598774885,1.3997283503177067,1.3858222362680466,1.0,0.020598,0.14613076588692042,1.0,0.9985386923411308,0.8991005490727042,-11.05973557362221,0.0
3,1.07,local,0.85,4134,15.482628,0.9473971232102204,4134,36,99.0,0.4194484760522496,1.457930763393718,1.4485253368787183,0.9507310128123904,3962,22,168.0,0.8107016658253408,1.2947144948938736,1.3202726164377274,47604,3.681063476430322,0.9732298334236312,4134,137,7.0,0.3364779874213836,2.5492424091251102,2.6097183956053764,0.9474520692386568,3727,197,5.0,0.1840622484572041,3.101159359228109,3.199775325759895,8.854019821106473,9.71410895327316,1.0,1.0,1.0971410895327316,2.4235716820313358,0.9486380416910518,4170,36,99.0,0.4158273381294964,1.466684304949478,1.4571722379888052,1.0,0.022212,-0.596945106167035,0.0,1.0059694510616704,0.9114598017889354,-10.369041957444459,0.0
3,1.07,local,0.9,4378,18.252314,0.960095312048165,4374,35,102.0,0.4636488340192043,1.5293637740574149,1.523190972914508,0.9602332351687888,4070,23,162.0,0.7828009828009828,1.3299311690130702,1.3557461628910534,47758,3.762872897939981,0.9850635335167794,4378,112,9.0,0.5038830516217451,2.365537887428928,2.3967354110201318,0.9601306364562658,3912,176,5.0,0.2691717791411043,2.921537323872639,2.9564668835668177,10.993027991957028,12.35074932215834,1.0,1.0,1.1235074932215834,2.180693528397909,0.960095312048165,4374,35,102.0,0.46364883401920437,1.5293637740574149,1.523190972914508,1.0,0.023063,0.0,0.0,1.0,0.8900697200804297,-12.35074932215834,0.0
