trace_id,input_index,prompt_sha256,num_tokens,module,projection,module_call_index,activation_cv,shape,shape_index,n,d,row_size_kib,budget_index,row_budget_fraction,nominal_row_budget,effective_row_budget,paper_underfill_rows,track,method,method_label,importance,rows,chunks,two_line_ms,lookup_ms,lookup_efficiency,two_line_efficiency,row_match,valid,runtime_median_ms,runtime_p95_ms,deadline_met,valid_and_deadline_met,deterministic,scalarized_calls,outer_iterations,mu_exact_hits,frontier_candidates,eligible_candidates,trim_work_deletions,minimum_overfill,repair_deletions,repair_additions,returned_top_r,fallback_used,error,paper_importance,paper_lookup_ms,paper_two_line_ms,paper_lookup_efficiency,paper_two_line_efficiency,paper_runtime_median_ms,importance_gain_pct,lookup_saving_pct,two_line_saving_pct,lookup_efficiency_gain_pct,two_line_efficiency_gain_pct,lookup_saving_abs_ms,selector_overhead_median_ms,mixed_net_saving_ms,mixed_net_win
277,1,3947c243866e562f90528579af08055b21e62ee87d57f45152ced09a5cc18213,43,model.layers.15.mlp.gate_proj,gate_proj,0,0.7165018913549537,896x4864,2,896,4864,9.5,1,0.5,448,448,0,host,frontier24_trim256_rho3,Frontier24 + adaptive trim256 + rho3,0.571323291544104,448,17,0.792303923319437,0.8180830162771118,0.6983683564830026,0.721091079734261,True,True,1.7648085,1.8021201,True,True,True,72,3,0,11,11,974,2,78,0,False,False,,0.5833919166761916,0.8551744919363939,0.8728966304450729,0.682190502847205,0.6683402092854127,0.284462,-2.0686994089405997,4.337299113692572,9.232789349243253,2.371456883125367,7.892817118582363,0.03709147565928217,1.4803465,-1.4432550243407178,False
277,1,3947c243866e562f90528579af08055b21e62ee87d57f45152ced09a5cc18213,43,model.layers.15.mlp.gate_proj,gate_proj,0,0.7165018913549537,896x4864,2,896,4864,9.5,1,0.5,448,448,0,cuda,paper,Paper,0.5833919166761916,448,25,0.8728966304450729,0.8551744919363939,0.682190502847205,0.6683402092854127,True,True,0.3182645,0.3500880499999999,True,True,True,0,0,0,0,0,0,0,0,0,False,False,,0.5833919166761916,0.8551744919363939,0.8728966304450729,0.682190502847205,0.6683402092854127,0.3182645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
277,1,3947c243866e562f90528579af08055b21e62ee87d57f45152ced09a5cc18213,43,model.layers.15.mlp.gate_proj,gate_proj,0,0.7165018913549537,896x4864,2,896,4864,9.5,1,0.5,448,448,0,cuda,top_r,Top-R,0.6424184093484655,448,216,2.984763609855232,3.24956932807179,0.1976934001065488,0.2152325923658739,True,True,0.0332425,0.0392642999999999,True,True,True,0,0,0,0,0,0,0,0,0,False,False,,0.5833919166761916,0.8551744919363939,0.8728966304450729,0.682190502847205,0.6683402092854127,0.3182645,10.117811197757165,-279.9890383439414,-241.93780864217103,-71.02079268452853,-67.79595341181104,-2.3943948361353957,-0.285022,-2.1093728361353956,False
277,1,3947c243866e562f90528579af08055b21e62ee87d57f45152ced09a5cc18213,43,model.layers.15.mlp.gate_proj,gate_proj,0,0.7165018913549537,896x4864,2,896,4864,9.5,1,0.5,448,448,0,cuda,legacy_rho2_mu4,Exp24 rho2/mu4,0.5722668279486243,448,23,0.853552502664262,0.8653267408144756,0.6613303402712215,0.6704529904866565,True,True,0.359447,0.39969425,True,True,True,8,2,0,0,0,0,0,434,0,False,False,,0.5833919166761916,0.8551744919363939,0.8728966304450729,0.682190502847205,0.6683402092854127,0.3182645,-1.906966553625089,-1.1871552500465343,2.216084597662815,-3.057820724404847,0.3161236106836718,-0.010152248878081638,0.04118250000000001,-0.05133474887808165,False
277,1,3947c243866e562f90528579af08055b21e62ee87d57f45152ced09a5cc18213,43,model.layers.15.mlp.gate_proj,gate_proj,0,0.7165018913549537,896x4864,2,896,4864,9.5,1,0.5,448,448,0,cuda,frontier16_trim64,Frontier16 + adaptive trim64,0.571323291544104,448,17,0.792303923319437,0.8180830162771118,0.6983683564830026,0.721091079734261,True,True,0.9976195,1.0533442,True,True,True,32,2,0,6,6,151,2,54,0,False,False,,0.5833919166761916,0.8551744919363939,0.8728966304450729,0.682190502847205,0.6683402092854127,0.3182645,-2.0686994089405997,4.337299113692572,9.232789349243253,2.371456883125367,7.892817118582363,0.03709147565928217,0.6793549999999999,-0.6422635243407178,False
277,1,3947c243866e562f90528579af08055b21e62ee87d57f45152ced09a5cc18213,43,model.layers.15.mlp.gate_proj,gate_proj,0,0.7165018913549537,896x4864,2,896,4864,9.5,1,0.5,448,448,0,cuda,frontier16_trim256,Frontier16 + adaptive trim256,0.571323291544104,448,17,0.792303923319437,0.8180830162771118,0.6983683564830026,0.721091079734261,True,True,1.244345,1.27814175,True,True,True,32,2,0,9,9,719,2,54,0,False,False,,0.5833919166761916,0.8551744919363939,0.8728966304450729,0.682190502847205,0.6683402092854127,0.3182645,-2.0686994089405997,4.337299113692572,9.232789349243253,2.371456883125367,7.892817118582363,0.03709147565928217,0.9260805000000001,-0.8889890243407179,False
277,1,3947c243866e562f90528579af08055b21e62ee87d57f45152ced09a5cc18213,43,model.layers.15.mlp.gate_proj,gate_proj,0,0.7165018913549537,896x4864,2,896,4864,9.5,1,0.5,448,448,0,cuda,frontier24_trim256_rho3,Frontier24 + adaptive trim256 + rho3,0.571323291544104,448,17,0.792303923319437,0.8180830162771118,0.6983683564830026,0.721091079734261,True,True,1.8727345,1.92960085,True,True,True,72,3,0,11,11,974,2,78,0,False,False,,0.5833919166761916,0.8551744919363939,0.8728966304450729,0.682190502847205,0.6683402092854127,0.3182645,-2.0686994089405997,4.337299113692572,9.232789349243253,2.371456883125367,7.892817118582363,0.03709147565928217,1.55447,-1.5173785243407178,False
277,1,3947c243866e562f90528579af08055b21e62ee87d57f45152ced09a5cc18213,43,model.layers.15.mlp.gate_proj,gate_proj,0,0.7165018913549537,896x4864,2,896,4864,9.5,2,0.75,672,672,0,host,paper,Paper,0.8087366463150829,672,33,1.2791432218933214,1.263841883048867,0.6399033432600784,0.6322487055968861,True,True,0.2866355,0.3625073499999999,True,True,True,0,0,0,0,0,0,0,0,0,False,False,,0.8087366463150829,1.263841883048867,1.2791432218933214,0.6399033432600784,0.6322487055968861,0.2866355,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
277,1,3947c243866e562f90528579af08055b21e62ee87d57f45152ced09a5cc18213,43,model.layers.15.mlp.gate_proj,gate_proj,0,0.7165018913549537,896x4864,2,896,4864,9.5,2,0.75,672,672,0,host,top_r,Top-R,0.8462899902369827,672,173,2.8039722652756187,2.9597745273407394,0.2859305607300251,0.3018182457499436,True,True,0.009412,0.011249,True,True,True,0,0,0,0,0,0,0,0,0,False,False,,0.8087366463150829,1.263841883048867,1.2791432218933214,0.6399033432600784,0.6322487055968861,0.2866355,4.643457680940677,-134.1886724153055,-119.20706120189766,-55.316601524019035,-52.26273409844209,-1.6959326442918725,-0.2772235,-1.4187091442918724,False
277,1,3947c243866e562f90528579af08055b21e62ee87d57f45152ced09a5cc18213,43,model.layers.15.mlp.gate_proj,gate_proj,0,0.7165018913549537,896x4864,2,896,4864,9.5,2,0.75,672,672,0,host,legacy_rho2_mu4,Exp24 rho2/mu4,0.8002047388581559,672,28,1.21479582596225,1.2430411849266736,0.6437475673063556,0.6587154168267799,True,True,0.273932,0.3153554499999999,True,True,True,8,2,0,0,0,0,0,326,0,False,False,,0.8087366463150829,1.263841883048867,1.2791432218933214,0.6399033432600784,0.6322487055968861,0.2866355,-1.0549673364996681,1.6458307325607935,5.030507517041583,0.6007507363053222,4.186123434591682,0.020800698122193317,-0.012703499999999979,0.033504198122193296,True
