track,shape,n,d,row_size_kib,method,method_label,cases,valid_cases,valid_rate,exact_row_match_rate,deadline_pass_rate,valid_and_deadline_pass_rate,deterministic_rate,fallback_rate,error_rate,runtime_median_ms,runtime_case_p95_ms,runtime_worst_case_p95_ms,lookup_efficiency_gain_pct_mean_valid,lookup_efficiency_gain_pct_median_valid,lookup_efficiency_win_rate_valid,two_line_efficiency_gain_pct_mean_valid,two_line_efficiency_win_rate_valid,importance_gain_pct_mean_valid,importance_nonregression_rate_valid,lookup_saving_pct_mean_valid,lookup_saving_pct_weighted_valid,lookup_nonregression_rate_valid,pareto_nonregression_rate_valid,lookup_saving_abs_ms_mean_valid,selector_overhead_median_ms_median_valid,mixed_net_win_rate_valid,scalarized_calls_median,repair_deletions_mean,repair_additions_mean,returned_top_r_rate,paper_underfill_rows_mean,frontier_candidates_mean,eligible_candidates_mean,trim_work_deletions_mean,minimum_overfill_median
cuda,896x128,896,128,0.25,frontier16_trim64,Frontier16 + adaptive trim64,96,96,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.6673545,0.8950449,1.2111504999999991,-53.488932823087,-66.72757456654384,0.052083333333333336,-50.39553978477735,0.052083333333333336,15.166222409663852,0.9583333333333334,-319.26088944941193,-276.6510377546599,0.08333333333333333,0.041666666666666664,-0.09043504761183467,0.5029925000000001,0.0,32.0,31.375,0.0,0.010416666666666666,0.0,2.125,2.125,45.927083333333336,7.5
cuda,896x128,896,128,0.25,frontier16_trim256,Frontier16 + adaptive trim256,96,96,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.7820690000000001,1.0264094499999998,1.2634499999999995,-18.151274308149688,-3.424631732360639,0.4375,-16.435387719903506,0.4479166666666667,6.101690783725714,0.5729166666666666,-125.17748856457008,-91.34552235331421,0.5416666666666666,0.11458333333333333,-0.029860132570606036,0.61430525,0.0,32.0,250.33333333333334,0.0,0.0,0.0,4.875,4.875,529.0208333333334,7.5
cuda,896x128,896,128,0.25,frontier24_trim256_rho3,Frontier24 + adaptive trim256 + rho3,96,96,1.0,1.0,0.9791666666666666,0.9791666666666666,1.0,0.0,0.0,1.223857,1.6934341374999997,2.1597238,-18.151274308149688,-3.424631732360639,0.4375,-16.435387719903506,0.4479166666666667,6.101690783725714,0.5729166666666666,-125.17748856457008,-91.34552235331421,0.5416666666666666,0.11458333333333333,-0.029860132570606036,1.0624405000000001,0.0,72.0,324.8229166666667,0.0,0.0,0.0,5.927083333333333,5.927083333333333,742.3125,7.0
host,896x4864,896,4864,9.5,paper,Paper,96,96,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.27372675,0.3645337374999999,0.6179564999999987,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
host,896x4864,896,4864,9.5,top_r,Top-R,96,96,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.010101249999999999,0.014977224999999974,0.0165272999999999,-68.2359584517019,-71.82122991094735,0.0,-65.45065871257162,0.0,10.671133323146462,1.0,-285.4139251889219,-236.6971372012925,0.0,0.0,-2.006260153527752,-0.26355275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
host,896x4864,896,4864,9.5,legacy_rho2_mu4,Exp24 rho2/mu4,96,96,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.27803475,0.47850789999999993,0.5905498999999998,-0.6174876943249533,0.2552772153116667,0.5416666666666666,2.732851123671456,0.8333333333333334,-2.7742141670934557,0.010416666666666666,2.140316702536312,1.7199618364553082,0.8125,0.010416666666666666,0.014578507111956324,0.011837249999999994,0.5,8.0,539.9895833333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0
host,896x4864,896,4864,9.5,frontier16_trim64,Frontier16 + adaptive trim64,96,96,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.8357415,1.1336460124999992,1.5944504999999995,3.2419580696952273,3.058472737653861,1.0,7.765412388430334,1.0,-1.312580153109346,0.2916666666666667,4.399177505661975,3.838635503208987,1.0,0.2916666666666667,0.03253652133298011,0.56611775,0.0,32.0,20.020833333333332,0.0,0.0,0.0,4.78125,4.78125,99.1875,3.0
host,896x4864,896,4864,9.5,frontier16_trim256,Frontier16 + adaptive trim256,96,96,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.01379475,1.4100799374999995,1.4874381,3.2433035051434023,3.058472737653861,1.0,7.76304199216214,1.0,-1.313578696485281,0.2916666666666667,4.401430508072783,3.8397935478723833,1.0,0.2916666666666667,0.032546336994004416,0.7545974999999999,0.0,32.0,22.65625,0.0,0.0,0.0,7.489583333333333,7.489583333333333,488.4166666666667,3.0
host,896x4864,896,4864,9.5,frontier24_trim256_rho3,Frontier24 + adaptive trim256 + rho3,96,96,1.0,1.0,0.875,0.875,1.0,0.0,0.0,1.6500887499999999,2.1712929499999998,3.97888425,3.25376946411707,3.058472737653861,1.0,7.775569368156785,1.0,-1.3233022854271272,0.2916666666666667,4.420596321642974,3.8541197335114075,1.0,0.2916666666666667,0.032667766664593055,1.3727855000000002,0.0,72.0,31.489583333333332,0.0,0.0,0.0,11.15625,11.15625,727.0520833333334,3.0
cuda,896x4864,896,4864,9.5,paper,Paper,96,96,1.0,1.0,0.9895833333333334,0.9895833333333334,1.0,0.0,0.0,0.29743825,0.3832911124999999,4.0071381,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
