n,trial,spatial_mode,budget_index,row_budget_fraction,row_budget,method,method_label,two_line_efficiency,exact_efficiency,optimality_ratio,optimality_gap_pct,row_match,fallback_used,error
18,0,hot-cold,0,0.25,4,frontier24_trim256_rho3,Frontier24 + adaptive trim256 + rho3,35.86259050973431,35.86259050973431,1.0,0.0,True,False,
18,0,hot-cold,1,0.5,9,top_r,Top-R,9.852423566341455,20.3959293742131,0.4830583292173012,51.694167078269885,True,False,
18,0,hot-cold,1,0.5,9,legacy_rho2_mu4,Exp24 rho2/mu4,20.3959293742131,20.3959293742131,1.0,0.0,True,False,
18,0,hot-cold,1,0.5,9,frontier16_trim64,Frontier16 + adaptive trim64,20.3959293742131,20.3959293742131,1.0,0.0,True,False,
18,0,hot-cold,1,0.5,9,frontier16_trim256,Frontier16 + adaptive trim256,20.3959293742131,20.3959293742131,1.0,0.0,True,False,
18,0,hot-cold,1,0.5,9,frontier24_trim256_rho3,Frontier24 + adaptive trim256 + rho3,20.3959293742131,20.3959293742131,1.0,0.0,True,False,
18,0,hot-cold,2,0.75,14,top_r,Top-R,10.046194573989478,13.722771959797207,0.7320820169147473,26.791798308525273,True,False,
18,0,hot-cold,2,0.75,14,legacy_rho2_mu4,Exp24 rho2/mu4,13.722771959797207,13.722771959797207,1.0,0.0,True,False,
18,0,hot-cold,2,0.75,14,frontier16_trim64,Frontier16 + adaptive trim64,13.722771959797207,13.722771959797207,1.0,0.0,True,False,
18,0,hot-cold,2,0.75,14,frontier16_trim256,Frontier16 + adaptive trim256,13.722771959797207,13.722771959797207,1.0,0.0,True,False,
18,0,hot-cold,2,0.75,14,frontier24_trim256_rho3,Frontier24 + adaptive trim256 + rho3,13.722771959797207,13.722771959797207,1.0,0.0,True,False,
18,1,random,0,0.25,4,top_r,Top-R,16.65793919093948,29.795601325014875,0.5590737709647873,44.092622903521274,True,False,
18,1,random,0,0.25,4,legacy_rho2_mu4,Exp24 rho2/mu4,29.740845291386236,29.795601325014875,0.9981622779472933,0.1837722052706714,True,False,
18,1,random,0,0.25,4,frontier16_trim64,Frontier16 + adaptive trim64,29.740845291386236,29.795601325014875,0.9981622779472933,0.1837722052706714,True,False,
18,1,random,0,0.25,4,frontier16_trim256,Frontier16 + adaptive trim256,29.740845291386236,29.795601325014875,0.9981622779472933,0.1837722052706714,True,False,
18,1,random,0,0.25,4,frontier24_trim256_rho3,Frontier24 + adaptive trim256 + rho3,29.740845291386236,29.795601325014875,0.9981622779472933,0.1837722052706714,True,False,
18,1,random,1,0.5,9,top_r,Top-R,11.058210075486537,21.08212470251091,0.524530152037735,47.546984796226496,True,False,
18,1,random,1,0.5,9,legacy_rho2_mu4,Exp24 rho2/mu4,21.08212470251091,21.08212470251091,1.0,0.0,True,False,
18,1,random,1,0.5,9,frontier16_trim64,Frontier16 + adaptive trim64,21.08212470251091,21.08212470251091,1.0,0.0,True,False,
18,1,random,1,0.5,9,frontier16_trim256,Frontier16 + adaptive trim256,21.08212470251091,21.08212470251091,1.0,0.0,True,False,
18,1,random,1,0.5,9,frontier24_trim256_rho3,Frontier24 + adaptive trim256 + rho3,21.08212470251091,21.08212470251091,1.0,0.0,True,False,
18,1,random,2,0.75,14,top_r,Top-R,10.12258899859903,13.720387619852218,0.7377771881570252,26.22228118429748,True,False,
18,1,random,2,0.75,14,legacy_rho2_mu4,Exp24 rho2/mu4,13.720387619852218,13.720387619852218,1.0,0.0,True,False,
18,1,random,2,0.75,14,frontier16_trim64,Frontier16 + adaptive trim64,13.720387619852218,13.720387619852218,1.0,0.0,True,False,
18,1,random,2,0.75,14,frontier16_trim256,Frontier16 + adaptive trim256,13.720387619852218,13.720387619852218,1.0,0.0,True,False,
18,1,random,2,0.75,14,frontier24_trim256_rho3,Frontier24 + adaptive trim256 + rho3,13.720387619852218,13.720387619852218,1.0,0.0,True,False,
18,1,local,0,0.25,4,top_r,Top-R,37.44207659006144,37.44207659006144,1.0,0.0,True,False,
18,1,local,0,0.25,4,legacy_rho2_mu4,Exp24 rho2/mu4,37.44207659006144,37.44207659006144,1.0,0.0,True,False,
18,1,local,0,0.25,4,frontier16_trim64,Frontier16 + adaptive trim64,37.44207659006144,37.44207659006144,1.0,0.0,True,False,
18,1,local,0,0.25,4,frontier16_trim256,Frontier16 + adaptive trim256,37.44207659006144,37.44207659006144,1.0,0.0,True,False,
18,1,local,0,0.25,4,frontier24_trim256_rho3,Frontier24 + adaptive trim256 + rho3,37.44207659006144,37.44207659006144,1.0,0.0,True,False,
18,1,local,1,0.5,9,top_r,Top-R,17.48746755105293,21.341276494282823,0.8194199421828258,18.058005781717423,True,False,
18,1,local,1,0.5,9,legacy_rho2_mu4,Exp24 rho2/mu4,21.341276494282823,21.341276494282823,1.0,0.0,True,False,
18,1,local,1,0.5,9,frontier16_trim64,Frontier16 + adaptive trim64,21.341276494282823,21.341276494282823,1.0,0.0,True,False,
18,1,local,1,0.5,9,frontier16_trim256,Frontier16 + adaptive trim256,21.341276494282823,21.341276494282823,1.0,0.0,True,False,
18,1,local,1,0.5,9,frontier24_trim256_rho3,Frontier24 + adaptive trim256 + rho3,21.341276494282823,21.341276494282823,1.0,0.0,True,False,
18,1,local,2,0.75,14,top_r,Top-R,12.101036810444864,13.721833037924133,0.8818819451453939,11.811805485460614,True,False,
18,1,local,2,0.75,14,legacy_rho2_mu4,Exp24 rho2/mu4,13.721833037924133,13.721833037924133,1.0,0.0,True,False,
18,1,local,2,0.75,14,frontier16_trim64,Frontier16 + adaptive trim64,13.721833037924133,13.721833037924133,1.0,0.0,True,False,
18,1,local,2,0.75,14,frontier16_trim256,Frontier16 + adaptive trim256,13.721833037924133,13.721833037924133,1.0,0.0,True,False,
18,1,local,2,0.75,14,frontier24_trim256_rho3,Frontier24 + adaptive trim256 + rho3,13.721833037924133,13.721833037924133,1.0,0.0,True,False,
18,1,hot-cold,0,0.25,4,top_r,Top-R,26.444002032015117,30.7166115257317,0.8609023169714745,13.909768302852555,True,False,
18,1,hot-cold,0,0.25,4,legacy_rho2_mu4,Exp24 rho2/mu4,30.7166115257317,30.7166115257317,1.0,0.0,True,False,
18,1,hot-cold,0,0.25,4,frontier16_trim64,Frontier16 + adaptive trim64,30.7166115257317,30.7166115257317,1.0,0.0,True,False,
18,1,hot-cold,0,0.25,4,frontier16_trim256,Frontier16 + adaptive trim256,30.7166115257317,30.7166115257317,1.0,0.0,True,False,
18,1,hot-cold,0,0.25,4,frontier24_trim256_rho3,Frontier24 + adaptive trim256 + rho3,30.7166115257317,30.7166115257317,1.0,0.0,True,False,
18,1,hot-cold,1,0.5,9,top_r,Top-R,14.648568695282764,21.33699160852291,0.6865339296206826,31.34660703793174,True,False,
18,1,hot-cold,1,0.5,9,legacy_rho2_mu4,Exp24 rho2/mu4,21.33699160852291,21.33699160852291,1.0,0.0,True,False,
18,1,hot-cold,1,0.5,9,frontier16_trim64,Frontier16 + adaptive trim64,21.33699160852291,21.33699160852291,1.0,0.0,True,False,
18,1,hot-cold,1,0.5,9,frontier16_trim256,Frontier16 + adaptive trim256,21.33699160852291,21.33699160852291,1.0,0.0,True,False,
18,1,hot-cold,1,0.5,9,frontier24_trim256_rho3,Frontier24 + adaptive trim256 + rho3,21.33699160852291,21.33699160852291,1.0,0.0,True,False,
18,1,hot-cold,2,0.75,14,top_r,Top-R,9.101700908684135,13.719075170536245,0.6634339994164761,33.656600058352396,True,False,
18,1,hot-cold,2,0.75,14,legacy_rho2_mu4,Exp24 rho2/mu4,13.719075170536245,13.719075170536245,1.0,0.0,True,False,
18,1,hot-cold,2,0.75,14,frontier16_trim64,Frontier16 + adaptive trim64,13.719075170536245,13.719075170536245,1.0,0.0,True,False,
18,1,hot-cold,2,0.75,14,frontier16_trim256,Frontier16 + adaptive trim256,13.719075170536245,13.719075170536245,1.0,0.0,True,False,
18,1,hot-cold,2,0.75,14,frontier24_trim256_rho3,Frontier24 + adaptive trim256 + rho3,13.719075170536245,13.719075170536245,1.0,0.0,True,False,
18,2,random,0,0.25,4,top_r,Top-R,20.445992830330102,30.190826269701727,0.6772253481134056,32.277465188659434,True,False,
18,2,random,0,0.25,4,legacy_rho2_mu4,Exp24 rho2/mu4,30.190826269701727,30.190826269701727,1.0,0.0,True,False,
18,2,random,0,0.25,4,frontier16_trim64,Frontier16 + adaptive trim64,30.190826269701727,30.190826269701727,1.0,0.0,True,False,
18,2,random,0,0.25,4,frontier16_trim256,Frontier16 + adaptive trim256,30.190826269701727,30.190826269701727,1.0,0.0,True,False,
18,2,random,0,0.25,4,frontier24_trim256_rho3,Frontier24 + adaptive trim256 + rho3,30.190826269701727,30.190826269701727,1.0,0.0,True,False,
18,2,random,1,0.5,9,top_r,Top-R,12.604510864491635,20.290189595279585,0.6212120791332583,37.878792086674174,True,False,
18,2,random,1,0.5,9,legacy_rho2_mu4,Exp24 rho2/mu4,20.290177695222482,20.290189595279585,0.9999994135068553,5.8649314471637126e-05,True,False,
18,2,random,1,0.5,9,frontier16_trim64,Frontier16 + adaptive trim64,20.290177695222482,20.290189595279585,0.9999994135068553,5.8649314471637126e-05,True,False,
18,2,random,1,0.5,9,frontier16_trim256,Frontier16 + adaptive trim256,20.290177695222482,20.290189595279585,0.9999994135068553,5.8649314471637126e-05,True,False,
18,2,random,1,0.5,9,frontier24_trim256_rho3,Frontier24 + adaptive trim256 + rho3,20.290177695222482,20.290189595279585,0.9999994135068553,5.8649314471637126e-05,True,False,
18,2,random,2,0.75,14,top_r,Top-R,10.12259000086717,13.718888049719347,0.7378579054061347,26.214209459386527,True,False,
18,2,random,2,0.75,14,legacy_rho2_mu4,Exp24 rho2/mu4,13.718888049719347,13.718888049719347,1.0,0.0,True,False,
18,2,random,2,0.75,14,frontier16_trim64,Frontier16 + adaptive trim64,13.718888049719347,13.718888049719347,1.0,0.0,True,False,
18,2,random,2,0.75,14,frontier16_trim256,Frontier16 + adaptive trim256,13.718888049719347,13.718888049719347,1.0,0.0,True,False,
18,2,random,2,0.75,14,frontier24_trim256_rho3,Frontier24 + adaptive trim256 + rho3,13.718888049719347,13.718888049719347,1.0,0.0,True,False,
18,2,local,0,0.25,4,top_r,Top-R,26.451710836391204,32.031603768989555,0.8258003884900588,17.419961150994123,True,False,
18,2,local,0,0.25,4,legacy_rho2_mu4,Exp24 rho2/mu4,32.031603768989555,32.031603768989555,1.0,0.0,True,False,
18,2,local,0,0.25,4,frontier16_trim64,Frontier16 + adaptive trim64,32.031603768989555,32.031603768989555,1.0,0.0,True,False,
18,2,local,0,0.25,4,frontier16_trim256,Frontier16 + adaptive trim256,32.031603768989555,32.031603768989555,1.0,0.0,True,False,
18,2,local,0,0.25,4,frontier24_trim256_rho3,Frontier24 + adaptive trim256 + rho3,32.031603768989555,32.031603768989555,1.0,0.0,True,False,
18,2,local,1,0.5,9,top_r,Top-R,21.346523063966416,21.346523063966416,1.0,0.0,True,False,
18,2,local,1,0.5,9,legacy_rho2_mu4,Exp24 rho2/mu4,21.346523063966416,21.346523063966416,1.0,0.0,True,False,
18,2,local,1,0.5,9,frontier16_trim64,Frontier16 + adaptive trim64,21.346523063966416,21.346523063966416,1.0,0.0,True,False,
18,2,local,1,0.5,9,frontier16_trim256,Frontier16 + adaptive trim256,21.346523063966416,21.346523063966416,1.0,0.0,True,False,
18,2,local,1,0.5,9,frontier24_trim256_rho3,Frontier24 + adaptive trim256 + rho3,21.346523063966416,21.346523063966416,1.0,0.0,True,False,
18,2,local,2,0.75,14,top_r,Top-R,10.978291259701315,13.72276706801301,0.8000056552217584,19.999434477824163,True,False,
18,2,local,2,0.75,14,legacy_rho2_mu4,Exp24 rho2/mu4,13.72276706801301,13.72276706801301,1.0,0.0,True,False,
18,2,local,2,0.75,14,frontier16_trim64,Frontier16 + adaptive trim64,13.72276706801301,13.72276706801301,1.0,0.0,True,False,
18,2,local,2,0.75,14,frontier16_trim256,Frontier16 + adaptive trim256,13.72276706801301,13.72276706801301,1.0,0.0,True,False,
18,2,local,2,0.75,14,frontier24_trim256_rho3,Frontier24 + adaptive trim256 + rho3,13.72276706801301,13.72276706801301,1.0,0.0,True,False,
18,2,hot-cold,0,0.25,4,top_r,Top-R,20.445992830330102,36.252460001522074,0.5639891149310052,43.60108850689948,True,False,
18,2,hot-cold,0,0.25,4,legacy_rho2_mu4,Exp24 rho2/mu4,36.252460001522074,36.252460001522074,1.0,0.0,True,False,
18,2,hot-cold,0,0.25,4,frontier16_trim64,Frontier16 + adaptive trim64,36.252460001522074,36.252460001522074,1.0,0.0,True,False,
18,2,hot-cold,0,0.25,4,frontier16_trim256,Frontier16 + adaptive trim256,36.252460001522074,36.252460001522074,1.0,0.0,True,False,
18,2,hot-cold,0,0.25,4,frontier24_trim256_rho3,Frontier24 + adaptive trim256 + rho3,36.252460001522074,36.252460001522074,1.0,0.0,True,False,
18,2,hot-cold,1,0.5,9,top_r,Top-R,14.65071517430855,20.657406167566677,0.7092233679033247,29.077663209667527,True,False,
18,2,hot-cold,1,0.5,9,legacy_rho2_mu4,Exp24 rho2/mu4,20.657406167566677,20.657406167566677,1.0,0.0,True,False,
18,2,hot-cold,1,0.5,9,frontier16_trim64,Frontier16 + adaptive trim64,20.657406167566677,20.657406167566677,1.0,0.0,True,False,
18,2,hot-cold,1,0.5,9,frontier16_trim256,Frontier16 + adaptive trim256,20.657406167566677,20.657406167566677,1.0,0.0,True,False,
18,2,hot-cold,1,0.5,9,frontier24_trim256_rho3,Frontier24 + adaptive trim256 + rho3,20.657406167566677,20.657406167566677,1.0,0.0,True,False,
18,2,hot-cold,2,0.75,14,top_r,Top-R,10.978291259701315,13.722767072572367,0.8000056549559583,19.999434504404167,True,False,
